,date,time,open,high,low,close,feature1,feature2,feature3,tick,tick_variation,datetime
5895,2024-02-11,16:45:00,2508.0,2512.6,2506.1,2511.9,1,1,1,78292,0.0002043840383181142,2024-02-11 16:45:00
5896,2024-02-11,17:00:00,2512.0,2512.0,2506.8,2506.9,1,1,1,78272,-0.0002554865755701845,2024-02-11 17:00:00
5897,2024-02-11,17:15:00,2507.0,2507.7,2503.8,2506.1,1,1,1,78269,-3.8328616788820216e-05,2024-02-11 17:15:00
5898,2024-02-11,17:30:00,2506.2,2509.8,2505.1,2508.9,1,1,1,78280,0.00014053107995721422,2024-02-11 17:30:00
5899,2024-02-11,17:45:00,2508.8,2510.1,2506.9,2507.0,1,1,1,78272,-0.0001022024631683265,2024-02-11 17:45:00
5900,2024-02-11,18:00:00,2507.0,2508.0,2500.1,2502.4,1,1,1,78254,-0.00022999374007320807,2024-02-11 18:00:00
5901,2024-02-11,18:15:00,2502.5,2508.2,2499.4,2507.0,1,1,1,78272,0.00022999374007307471,2024-02-11 18:15:00
5902,2024-02-11,18:30:00,2507.0,2509.8,2505.0,2508.2,1,1,1,78277,6.387776353354566e-05,2024-02-11 18:30:00
5903,2024-02-11,18:45:00,2508.4,2509.3,2506.4,2506.5,1,1,1,78270,-8.943001149391266e-05,2024-02-11 18:45:00
5904,2024-02-11,19:00:00,2506.6,2517.9,2506.3,2514.9,1,1,1,78304,0.000434299443514409,2024-02-11 19:00:00
5905,2024-02-11,19:15:00,2514.9,2516.4,2512.4,2516.4,1,1,1,78310,7.662150258512189e-05,2024-02-11 19:15:00
5906,2024-02-11,19:30:00,2516.3,2516.3,2510.4,2510.4,1,1,1,78286,-0.00030652124176747017,2024-02-11 19:30:00
5907,2024-02-11,19:45:00,2510.2,2511.3,2507.8,2508.9,1,1,1,78280,-7.664499320329803e-05,2024-02-11 19:45:00
5908,2024-02-11,20:00:00,2509.0,2509.4,2505.3,2506.6,1,1,1,78271,-0.00011497850553385734,2024-02-11 20:00:00
5909,2024-02-11,20:15:00,2506.7,2508.2,2501.8,2501.8,1,1,1,78252,-0.00024277582327606896,2024-02-11 20:15:00
5910,2024-02-11,20:30:00,2501.9,2502.2,2495.1,2502.0,1,1,1,78252,0.0,2024-02-11 20:30:00
5911,2024-02-11,20:45:00,2501.8,2511.0,2500.9,2504.9,1,1,1,78264,0.0001533389560622169,2024-02-11 20:45:00
5912,2024-02-11,21:00:00,2505.0,2507.2,2503.1,2504.5,1,1,1,78262,-2.5554859896923136e-05,2024-02-11 21:00:00
5913,2024-02-11,21:15:00,2504.2,2506.6,2503.4,2506.3,1,1,1,78270,0.00010221552151601659,2024-02-11 21:15:00
5914,2024-02-11,21:30:00,2506.4,2508.3,2504.7,2508.3,1,1,1,78278,0.00010220507457095724,2024-02-11 21:30:00
5915,2024-02-11,21:45:00,2508.2,2508.2,2505.7,2505.7,1,1,1,78267,-0.0001405346707733177,2024-02-11 21:45:00
5916,2024-02-11,22:00:00,2505.8,2508.3,2505.6,2506.7,1,1,1,78271,5.1105801797202626e-05,2024-02-11 22:00:00
5917,2024-02-11,22:15:00,2506.6,2511.8,2505.9,2510.1,1,1,1,78285,0.00017884974114464855,2024-02-11 22:15:00
5918,2024-02-11,22:30:00,2510.0,2511.6,2496.9,2500.7,1,1,1,78247,-0.00048552373631580224,2024-02-11 22:30:00
5919,2024-02-11,22:45:00,2500.8,2501.6,2491.9,2495.3,2,2,1,78226,-0.00026841691698988485,2024-02-11 22:45:00
5920,2024-02-11,23:00:00,2495.4,2499.2,2495.4,2497.2,1,1,1,78233,8.948031119546751e-05,2024-02-11 23:00:00
